Title,Price,Address,Bed Bath,Link
Rosemont,"$1,179 - $1,929","1406 Skyline Dr, Johnson City, TN 37604",1-3 Beds,https://www.apartments.com/rosemont-johnson-city-tn/ge740lw/
Universal at Mountain View,"$999 - $2,499","1193 W Mountain View Rd, Johnson City, TN 37604",1-3 Beds,https://www.apartments.com/universal-at-mountain-view-johnson-city-tn/1wmhkt6/
The Hub at Mountcastle,"$1,059 - $1,449","207 E Mountcastle Dr, Johnson City, TN 37601",1-2 Beds,https://www.apartments.com/the-hub-at-mountcastle-johnson-city-tn/zcdjwsw/
The Harbor,$675 - $875,"1109 University Pky, Johnson City, TN 37604",2-4 Beds,https://www.apartments.com/the-harbor-johnson-city-tn/fv7l7xv/
Summer Chase Apartments,"$1,220 - $1,665","1811 W Lakeview Dr, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/summer-chase-apartments-johnson-city-tn/ndyrfmq/
Boones Creek Village Townhomes,"$1,200 - $1,800","3300 Boones Creek Village Ct, Jonesborough, TN 37659",1-2 Beds,https://www.apartments.com/boones-creek-village-townhomes-jonesborough-tn/pv3dfls/
Laurel Brook Apartments,"$1,200","346 Old Gray Station Rd, Johnson City, TN 37615",2 Beds,https://www.apartments.com/laurel-brook-apartments-johnson-city-tn/e3f93ep/
The Reserve at Johnson City Apartments,"$1,524 - $1,804","1084 W Oakland Ave, Johnson City, TN 37604",1-3 Beds,https://www.apartments.com/the-reserve-at-johnson-city-apartments-johnson-city-tn/rhkl6f0/
The Henry on Main,"$1,339 - $2,119","208 E Market St, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/the-henry-on-main-johnson-city-tn/3fx5m5g/
The Villas at Boone Ridge,"$1,029 - $1,589","133 Boone Ridge Dr, Johnson City, TN 37615",1-3 Beds,https://www.apartments.com/the-villas-at-boone-ridge-johnson-city-tn/7vep6qz/
Universal at Gray Station,"$1,169 - $1,899","135 Old Gray Station Rd, Johnson City, TN 37615",1-3 Beds,https://www.apartments.com/universal-at-gray-station-johnson-city-tn/vd9zc2f/
Universal at Mockingbird Lane,"$1,129 - $1,819","234 Mockingbird Ln, Johnson City, TN 37604",1-3 Beds,https://www.apartments.com/universal-at-mockingbird-lane-johnson-city-tn/q534mcz/
Axis on Roan,"$1,054 - $1,899","3000-3008 S Roan St, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/axis-on-roan-johnson-city-tn/2cfgevc/
Knob Creek Apartments,"$1,260 - $2,605","1185 W Mountain View Rd, Johnson City, TN 37604",1-3 Beds,https://www.apartments.com/knob-creek-apartments-johnson-city-tn/2qykvbb/
Blue Ridge Apartments,"$1,150 - $1,550","2610 Plymouth Rd, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/blue-ridge-apartments-johnson-city-tn/z1n25rz/
Park Place Apartments,"$1,275 - $1,600","1319 Bell Ridge Rd, Johnson City, TN 37601",2-4 Beds,https://www.apartments.com/park-place-apartments-johnson-city-tn/n7ehb6q/
Charleston Square Townhomes,"$1,145 - $1,295","81 Charleston Sq, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/charleston-square-townhomes-johnson-city-tn/57gvtcp/
Doe Ridge Apartments,Call for Rent,"1700 Dave Buck Rd, Johnson City, TN 37601",2-3 Beds,https://www.apartments.com/doe-ridge-apartments-johnson-city-tn/n08p8nn/
Stoneybrook Heights Apartments,"$1,225 - $1,600","512 Swadley Rd, Johnson City, TN 37601",2-4 Beds,https://www.apartments.com/stoneybrook-heights-apartments-johnson-city-tn/td36vzc/
Sterling Hills,"$950 - $1,880","1 Milligan Ln, Johnson City, TN 37601",1-3 Beds,https://www.apartments.com/sterling-hills-johnson-city-tn/31yzl3e/
Homestead Properties,"$850 - $2,500","1604 Cherokee Rd, Johnson City, TN 37604",1-4 Beds,https://www.apartments.com/homestead-properties-johnson-city-tn/6pd1f7v/
Greenwood Farms Apartments,"$825 - $1,005","2011 Signal Dr, Johnson City, TN 37604",1-2 Beds,https://www.apartments.com/greenwood-farms-apartments-johnson-city-tn/j4ngl87/
Martin Square,"$1,955 - $2,200","311 Petie Way, Gray, TN 37615",3-4 Beds,https://www.apartments.com/martin-square-gray-tn/t5yvsz9/
Pickens Bridge Village,"$969 - $1,869","6385 Bristol Hwy, Piney Flats, TN 37686",1-4 Beds,https://www.apartments.com/pickens-bridge-village-piney-flats-tn/9q99556/
