Title,Price,Location,Link
Quiet Country house apartment,$900,Church Hill,https://tricities.craigslist.org/apa/d/church-hill-quiet-country-house/7855494580.html
3 X 2~ House for rent.//,$910,,https://tricities.craigslist.org/apa/d/jonesborough-x-house-for-rent/7863567101.html
"Beautiful one level, 3 bedroom, 2 bath home",$910,TN,https://tricities.craigslist.org/apa/d/kingsport-beautiful-one-level-bedroom/7863566854.html
"This spacious 3-bedroom, 2-bathroom home","$1,000","Kingsport, TN",https://tricities.craigslist.org/apa/d/kingsport-this-spacious-bedroom/7863566797.html
2 BR 2 Bath House in North Johnsonn City,"$1,950",Johnson City,https://tricities.craigslist.org/apa/d/bristol-br-bath-house-in-north-johnsonn/7853119097.html
2 BR 2 Bath Condo partially furnished,"$2,000",Bristol TN,https://tricities.craigslist.org/apa/d/bristol-br-bath-condo-partially/7853129361.html
Apartment / Townhouse Style,$900,Hampton Area,https://tricities.craigslist.org/apa/d/hampton-apartment-townhouse-style/7862987902.html
NICE HOUSE DOR RENT,$600,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-nice-house-dor-rent/7863461388.html
"*****1Br,ON THE DOE RIVER IN ELIZABETHTON**Available July 17th********""",$795,"Elizabethton, TN",https://tricities.craigslist.org/apa/d/elizabethton-1bron-the-doe-river-in/7863372708.html
🏡 3BR House by ETSU & VA | Pet Friendly | Carport,"$1,024",Gray,https://tricities.craigslist.org/apa/d/johnson-city-3br-house-by-etsu-va-pet/7863350337.html
Newer construction in the heart of JC,"$2,000",,https://tricities.craigslist.org/apa/d/johnson-city-newer-construction-in-the/7863138875.html
Walnut Cove LLC,"$1,650",,https://tricities.craigslist.org/apa/d/jonesborough-walnut-cove-llc/7863116756.html
a+super-nice,$800,1117 anderson Bristol tn,https://tricities.craigslist.org/apa/d/bristol-asuper-nice/7863020808.html
Small one bedroom apt,$850,Bristol VA,https://tricities.craigslist.org/apa/d/bristol-small-one-bedroom-apt/7852764187.html
2 or 3 Bedroom apartment for rent,"$1,000",Bristol VA,https://tricities.craigslist.org/apa/d/bristol-or-bedroom-apartment-for-rent/7860822667.html
"Charming 3 Bed, 1.5 Bath in downtown historic district  - $2200","$2,200",,https://tricities.craigslist.org/apa/d/johnson-city-charming-bed-15-bath-in/7862927197.html
2BR/1BA Mobile Home - Johnson City TN,$925,Johnson City TN,https://tricities.craigslist.org/apa/d/johnson-city-2br-1ba-mobile-home/7862921215.html
a+super-nice,$800,1117 anderson Bristol tn,https://tricities.craigslist.org/apa/d/bristol-asuper-nice/7862891801.html
Charming 1 Bed Apartment in Johnson City | $895/mo | Available NOW!,$895,,https://tricities.craigslist.org/apa/d/johnson-city-charming-bed-apartment-in/7862825662.html
Nice 1 BDRM 1BTH - Townview Apts #8,$550,"Abingdon, VA",https://tricities.craigslist.org/apa/d/abingdon-nice-bdrm-1bth-townview-apts/7857128542.html
SPECTACULAR 3 BEDROOM 3 BATH PERFECT HOME ! PETS WELCOMED!,"$1,000",Kingsport,https://tricities.craigslist.org/apa/d/kingsport-spectacular-bedroom-bath/7862675839.html
Apartment,$995,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-apartment/7862656794.html
Very Nice 1 BR Cottage with Garage (Blountville),$995,Blountville,https://tricities.craigslist.org/apa/d/blountville-very-nice-br-cottage-with/7862631664.html
"Furnished Room 4 Rent - ALL Utilities, Internet & More Included in Ren",$695,,https://tricities.craigslist.org/apa/d/bristol-furnished-room-rent-all/7862603971.html
"Charming 3 Bed, 1 Bath Unit in Bristol TN! Includes ALL Appliances","$1,295",,https://tricities.craigslist.org/apa/d/bristol-charming-bed-bath-unit-in/7862603831.html
"Charming Room in Bristol! - UTILITIES, INTERNET & MORE INCLUDED",$675,,https://tricities.craigslist.org/apa/d/bristol-charming-room-in-bristol/7862603465.html
Quality Living in Central Area in JC - Private ROOM - All Utilities In,$765,,https://tricities.craigslist.org/apa/d/johnson-city-quality-living-in-central/7862603325.html
2 Story Large Home! Yard Space - Great Location,"$1,995",,https://tricities.craigslist.org/apa/d/greeneville-story-large-home-yard-space/7862602910.html
"Remodeled 2 bedroom, great location!","$1,100",,https://tricities.craigslist.org/apa/d/johnson-city-remodeled-bedroom-great/7862602700.html
235 Union Church,"$2,600",,https://tricities.craigslist.org/apa/d/jonesborough-235-union-church/7862507829.html
City 2 bedroom,$690,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-city-bedroom/7862443960.html
1 bed Classic Unit F33,"$1,535",Kingsport,https://tricities.craigslist.org/apa/d/kingsport-bed-classic-unit-f33/7859180534.html
Two Bedroom Unit B36 (Upgraded Unit),"$1,725",Kingsport,https://tricities.craigslist.org/apa/d/kingsport-two-bedroom-unit-b36-upgraded/7860711983.html
2 Bed 2 Bath Unit B25,"$1,715",Kingsport,https://tricities.craigslist.org/apa/d/kingsport-bed-bath-unit-b25/7859180755.html
Cottage Rental One-Bedroom,$875,Greeneville,https://tricities.craigslist.org/apa/d/greeneville-cottage-rental-one-bedroom/7862442332.html
Green Meadow Apartments - NOW LEASING!!,"$1,352","Murfreesboro, TN",https://tricities.craigslist.org/apa/d/murfreesboro-green-meadow-apartments/7862287312.html
Exit 7 Off Interstate 81,"$1,800",Bristol,https://tricities.craigslist.org/apa/d/bristol-exit-off-interstate-81/7862148579.html
Two Bedrooms Single Family House for Rent,"$1,200",Erwin,https://tricities.craigslist.org/apa/d/erwin-two-bedrooms-single-family-house/7862080988.html
"Pet Friendly Renovated Mid-Century Bungalow Next to JCMC, Grocery Stor","$1,600",,https://tricities.craigslist.org/apa/d/johnson-city-pet-friendly-renovated-mid/7862031150.html
Pet Friendly Lux Watauga Lake Waterfront Cabin with Lake and Long-rang,"$3,500",,https://tricities.craigslist.org/apa/d/butler-pet-friendly-lux-watauga-lake/7862031027.html
Fantastic Location,"$1,600",,https://tricities.craigslist.org/apa/d/bristol-fantastic-location/7861906573.html
🍏 #ForRent 2BR 2.5BA @ 156 Robinson Walk,"$1,800",,https://tricities.craigslist.org/apa/d/bristol-forrent-2br-25ba-156-robinson/7861886089.html
Duplex 2 bd/1 bath/carport/storage in Mount Carmel,"$1,025",Mt Carmel TN,https://tricities.craigslist.org/apa/d/mount-carmel-duplex-bd-bath-carport/7861868307.html
"113 Nanci Lane, Apt. #1",$950,,https://tricities.craigslist.org/apa/d/greeneville-113-nanci-lane-apt/7861650452.html
North Johnson City Two Bedroom/ Two Bath Condo,"$1,500",,https://tricities.craigslist.org/apa/d/johnson-city-north-johnson-city-two/7861573408.html
Two Bedroom Tree Street Home,"$1,900",,https://tricities.craigslist.org/apa/d/johnson-city-two-bedroom-tree-street/7861570799.html
"Cute & Convenient 2bdrm A-Frame $1,400","$1,400",Set Point,https://tricities.craigslist.org/apa/d/piney-flats-cute-convenient-2bdrm-frame/7861529512.html
2BR 1BA @ 146 Keith Rd via 🍏Apple Realty #ForRent,$800,Bristol,https://tricities.craigslist.org/apa/d/bristol-2br-1ba-146-keith-rd-via-apple/7858831449.html
2BR 2BA @ 2138 Valley Dr via 🍏Apple Realty #ForRent,"$1,800",Bristol,https://tricities.craigslist.org/apa/d/bristol-2br-2ba-valley-dr-via-apple/7853996489.html
291 Piper Glen,"$2,600",,https://tricities.craigslist.org/apa/d/johnson-city-291-piper-glen/7861478988.html
FURNISHED Room 4 Rent - All Utilities Included - 1 Mile from ETSU - Ev,$795,,https://tricities.craigslist.org/apa/d/johnson-city-furnished-room-rent-all/7861472225.html
Jonesville VA,"$1,495",,https://tricities.craigslist.org/apa/d/jonesville-jonesville-va/7861470462.html
One Bedroom Unit-Full Drive Under Garage Attached,$995,,https://tricities.craigslist.org/apa/d/johnson-city-one-bedroom-unit-full/7861461668.html
2BR/1BA,"$1,100",,https://tricities.craigslist.org/apa/d/bristol-2br-1ba/7861456542.html
Cedar Ridge,$700,,https://tricities.craigslist.org/apa/d/abingdon-cedar-ridge/7861455480.html
THREE BEDROOM BRICK FOR RENT OR SALE,"$1,500",MT,https://tricities.craigslist.org/apa/d/kingsport-three-bedroom-brick-for-rent/7861227548.html
NEWLY RENOVATED 2 BEDROOM 1 BATH HOME! W/D HOOKUP! CAT&DOG OK!!,$975,"Bristol, VA",https://tricities.craigslist.org/apa/d/bristol-newly-renovated-bedroom-bath/7861083158.html
SPECTACULAR 2 BEDROOM 1 BATH PERFECT HOME ! PETS WELCOMED!,$975,"Bristol, VA",https://tricities.craigslist.org/apa/d/bristol-spectacular-bedroom-bath/7861083313.html
TWO BEDROOM ONE BATHROOM BRISTOL CHARMER! W/D HOOHUP! PETS OK!,$975,"Bristol, VA",https://tricities.craigslist.org/apa/d/bristol-two-bedroom-one-bathroom/7861080691.html
BRISTOL 2 BEDROOM 1 BATH HOME! W/D HOOHUP! PETS WELCOMED!,$975,"Bristol, VA",https://tricities.craigslist.org/apa/d/bristol-bristol-bedroom-bath-home-d/7861080059.html
2 Bedroom House For Rent,"$1,090",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-bedroom-house-for-rent/7855007950.html
1 Bedroom Apartment For Rent,$890,Elizabethton,https://tricities.craigslist.org/apa/d/elizabethton-bedroom-apartment-for-rent/7855009490.html
Apartments,$0,"Rogersville, TN",https://tricities.craigslist.org/apa/d/rogersville-apartments/7859218044.html
Cozy 2BR Townhouse | Prime Johnson City Location | Available 06/24/25,"$1,200",,https://tricities.craigslist.org/apa/d/milligan-college-cozy-2br-townhouse/7860816664.html
Two Bedroom/1 Bath Cute House,$990,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-two-bedroom-bath-cute-house/7860790120.html
TWO BEDROOM AVAILABLE --JULY 1ST,"$1,460",kingsport,https://tricities.craigslist.org/apa/d/church-hill-two-bedroom-available-july/7860761629.html
Mayrose place Apartments,$822,Savannah TN,https://tricities.craigslist.org/apa/d/crump-mayrose-place-apartments/7860726516.html
Mayrose place Apartments,$956,Savannah TN,https://tricities.craigslist.org/apa/d/crump-mayrose-place-apartments/7860726307.html
"Preleasing 1,2,&3 bedrooms","$1,159",Church Hill,https://tricities.craigslist.org/apa/d/mount-carmel-preleasing-123-bedrooms/7860701175.html
John Sevier Ctr Affordable Apartments,$1,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-john-sevier-ctr-affordable/7860446318.html
A private studio apartment,$650,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-private-studio-apartment/7860335449.html
"Greeneville , Tn - In town Location Fully Furnished","$1,300",,https://tricities.craigslist.org/apa/d/greeneville-greeneville-tn-in-town/7860334756.html
SCAM ALERT,"$999,999",Kingsport,https://tricities.craigslist.org/apa/d/johnson-city-scam-alert/7854407662.html
"For Rent – Beautiful 3–4 Bedroom Home in Town Acres – $2,200/month","$2,200",Johnson City TN,https://tricities.craigslist.org/apa/d/kingsport-for-rent-beautiful-34-bedroom/7860185499.html
2 Bed 2 Bath loft in Downtown Bristol TN,"$1,800",Bristol TN,https://tricities.craigslist.org/apa/d/bristol-bed-bath-loft-in-downtown/7859687533.html
Two Bedroom Home in North Johnson City,"$1,400",,https://tricities.craigslist.org/apa/d/johnson-city-two-bedroom-home-in-north/7859278407.html
Conveniently close to everything,"$1,850",,https://tricities.craigslist.org/apa/d/kingsport-conveniently-close-to/7859233607.html
Nothing needed but clothes,"$1,850",,https://tricities.craigslist.org/apa/d/piney-flats-nothing-needed-but-clothes/7859178956.html
Cozy 2BR on Virginia Ave,$980,,https://tricities.craigslist.org/apa/d/bristol-cozy-2br-on-virginia-ave/7859177712.html
"2bdrm Fully furnished cabin in the mountains, includes ALL utilities","$1,750",,https://tricities.craigslist.org/apa/d/blountville-2bdrm-fully-furnished-cabin/7859134382.html
2 Beds 1 Bath Apartment with water and sewer furnished,"$1,200","Bristol, VA",https://tricities.craigslist.org/apa/d/bristol-beds-bath-apartment-with-water/7858996661.html
"For Rent – Spacious 3BR/2BA Home on Private Lot | Johnson City – $1,800/mo","$1,800",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-for-rent-spacious-3br-2ba/7855115551.html
🏡 For Rent – Charming 2 Bedroom Home on Private 1-Acre Lot!,"$1,300",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-for-rent-charming-bedroom/7855117765.html
2BR 1.5BA @ 142 Keith Rd via 🍏Apple Realty #ForRent,"$1,200",Bristol,https://tricities.craigslist.org/apa/d/bristol-2br-15ba-142-keith-rd-via-apple/7855030502.html
🏡  2BR House by ETSU & VA | Pet Friendly | Carport,"$1,575",Johnson City,https://tricities.craigslist.org/apa/d/mountain-home-2br-house-by-etsu-va-pet/7858768368.html
Loft Apartment for Rent,$800,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-loft-apartment-for-rent/7858692139.html
